,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
410,1,RS11.21,01/05/2018,1522,1527,1534,7,ORE - LAG,KM 14 FRM ORE,LSD 495 CJ,BUS,PVT,HYUNDAI,BUS,,,,SPV & SOS,1,3,1,4,9,0,0,0,0,0,1,3,1,4,9
411,2,RS11.21,05/05/2018,2015,2027,2036,9,ORE - OND,KM 1 GOMEZ AXIS,NO NOS & QH026 REE,TRK & BIKE,2 COM,BEDFORD & BAJAJ,TRK & BOXERS,,,,DOT & SPV,2,0,0,0,2,1,0,0,0,1,5,0,0,0,5
412,3,RS11.21,12/05/2018,2013,2020,2033,13,ORE - OKT,KM 05 IRELE JUNCTION,XT 371 FST & AKR 803 MM,TRK & CAR,COM & PVT,MACK & TYT,TRK & CAMRY,,,,SPV,3,0,0,0,3,1,0,0,0,1,4,0,0,0,4
413,4,RS11.21,18/05/2018,1730,1745,1750,5,ORE - LAG,KM 2 BY SOKA BRIDGE,UNKNOWN (CAUGHT FIRE),BUS,COM,TYT,PICNIC,,,,TBT & SPV,6,2,0,0,8,0,2,0,0,2,6,4,0,0,10
414,5,RS11.21,19/05/2018,1425,1426,1456,30,ORE - BEN,KM 25 OPP ELEVANT QUARRY,YAB 853 BH,BUS,COM,TYT,SIENNA,,,,SPV & BFL,1,2,0,0,3,0,0,0,0,0,5,2,0,0,7
415,6,RS11.21,23/05/2018,1002,1008,1014,6,ORE - BEN,KM 3 ASOP BRIDGE,LND 421 XV,BUS,COM,TYT,SIENNA,,,,SPV,0,0,0,0,0,0,0,0,0,0,9,1,0,0,10
416,1,RS11.22,04/05/2018,432,450,459,9,OWO - IKR,KM 5 AFTER ARMY CHECK POINT,JBD 77 XA & TOO 57 YB,BUS & CAR,2 COM,TYT & TURBO,HIACE & CAR,,,,BRD & LOC,1,0,0,0,1,1,0,0,0,1,7,1,0,3,11
417,2,RS11.22,05/05/2018,1740,1745,1750,5,OWO - AKR,KM 7 AMURIN,NO NOS ,CAR,PVT,TYT,COROLLA,,,,BRD & SPV,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
418,3,RS11.22,06/05/2018,1533,1536,1540,4,OWO - IKR,KM 3 EPEME,WWW 672 AA & FG 33520,BUS & JEEP,PVT & GOV,NISSAN & TYT,SERENA & LAND CRUISER,,,,SPV & BRD,0,0,0,0,0,0,0,0,0,0,5,1,1,0,7
419,4,RS11.22,08/05/2018,1525,1530,1535,5,OWO - IKR,KM 2 B4 ARMY CHECK POINT,JMA 169 XA,BUS,COM,TYT,HIACE,,,,TBT,6,0,0,0,6,0,0,0,0,0,17,0,0,0,17
420,5,RS11.22,08/05/2018,2140,2316,2325,9,OWO - AKR,KM 11 AMURIN,AKK 983 XA,BUS,COM,FIAT,DUCATO,,,,TBT,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
421,6,RS11.22,11/05/2018,1715,1721,1726,5,OWO - AKR,KM 7 AFTER TISCO,OD454A01,CAR,GOV,TYT,COROLLA,,,,WOV,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4
422,7,RS11.22,16/05/2018,1325,1328,1333,5,AKR - OWO,KM 12 AMURIN,ALK 24 XA,TRK,COM,DAF 95,TRK,,,,MDV & LOC,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
423,8,RS11.22,22/05/2018,1312,1320,1323,3,OWO - AKR,0,LSD 937 AR & SUA 217 XA,BUS & CAR,2 COM,TYT & V/WAGEN,HIACE & GOLF 4,,,,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,22
424,9,RS11.22,22/05/2018,2142,2150,2155,5,OWO - T/SHIP,KM 3 OPP TECHNICAL SCHL OWO,BJK 817 QA,BIKE,COM,BOXERS,BIKE,,,,LOC,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
425,10,RS11.22,23/05/2018,1502,1510,1516,6,OWO - AKR,KM 3 FIRST MOLAC,ABC 364 XA & AKR 143 AL,BUS & CAR,COM & PVT,TYT & HONDA,HIACE & ACCORD,,,,WOV,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6
426,1,RS11.23,07/05/2018,1208,1209,1213,4,IKR - OWO,KM 5  ARMY CHECK POINT,KAK 982 XA & KAK 11 YQ,BUS & BIKE,2 COM,2 TYT,2 SUZUKI,,,,BFL &  LOC,1,0,0,0,1,0,0,0,0,0,8,4,0,0,12
427,2,RS11.23,08/05/2018,1159,1203,1215,12,IKR - OWO,KM 6 MOUNTAIN OF SOLUTION,NSR 318 XM,TRL,COM,IVECO,TRL,,,,BFL &  LOC,16,8,0,0,24,0,0,0,0,0,25,13,0,0,38
428,3,RS11.23,11/05/2018,2020,2028,2037,9,IKR - ISUA,KM 21 OKIAH VALLEY,LSR 845 XN,CAR,PVT,V/WAGEN,WALKER,,,,BFL,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
429,4,RS11.23,12/05/2018,2329,2331,2344,13,IKR - AJOWA,KM 2 NNPC FILLING STATION,NO NOS & FST 260 QC,2 BIKE,2  COM,HAOJUE & BOXERS,SUZUKI & BAJAJ,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
430,5,RS11.23,14/05/2018,1530,1533,1537,4,IKR - ADO,KM 7 IRUN OGBAGI  GRAMMER SCHL,NO NOS,BIKE,COM,BOXERS,BAJAJ,,,,SPV,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
431,6,RS11.23,15/05/2018,1635,1643,1654,11,IKR - ISUA,KM 23 NNPC EPINMI,XA 431 KKR & AUY 98 XA,2 BUS,2 COM,2 TYT,2 HIACE,,,,SPV & BFL,11,0,0,0,11,0,0,0,0,0,38,0,0,0,38
432,7,RS11.23,19/05/2018,1015,1018,1031,13,IKR - OWO,KM 29 AGO OKA BEND,"KTU 855 DN, TT 653 AAA & AKR 880 AG",3 BUS,3 PVT,2 TYT & HYUNDAI,HIACE & BUS,,,,SPV,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5
433,8,RS11.23,19/05/2018,1236,1240,1248,8,IKR - OWO,KM 12 ETIORO BEND,AZ 513 KUJ & AGL 865 XU,CAR & TRK,PVT & COM,PGT & MAN DIESEL,307 & TRK,,,,SPV,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3
434,9,RS11.23,23/05/2018,700,706,711,5,IKR - ISUA,KM 21 OKIAH VALLEY,NSR 619 ZD,TRL,COM,DAF,TRL,,,,BFL,4,0,0,0,4,0,0,0,0,0,10,0,0,0,10
435,10,RS11.23,23/05/2018,1334,1340,1350,10,IKR - ISUA,KM 23 ROUND ABOUT,KEY 181 AA & FFN N425 XA,JEEP & CAR,PVT & COM,NISSAN & TYT,PATH FINDER & PREVIA,,,,BFL &  LOC,3,0,0,0,3,0,1,0,0,1,10,3,0,0,13
436,11,RS11.23,28/05/2018,1428,1432,1452,20,IKR - OWO,0,FFF 370 WU & HIT & RUN,BIKE,COM,BOXERS,BAJAJ,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
437,12,RS11.23,29/05/2018,1310,1315,1325,10,IKR - ISUA,100M TO ARMY CHECK POINT,NO NOS & MUB 425 XA,JEEP & BUS,PVT & COM,RANGE ROVER & TYT,JEEP & HIACE,,,,SPV & WOV,5,1,0,0,6,14,2,0,0,16,19,3,0,0,22
438,1,RS11.24,09/05/2018,1305,1327,1338,11,OND - AKR,LANGBA JUCNTION,AKR 251 AE & NO NOS,CAR & BIKE,2 COM,NISSAN & DAYLONG,ALMERA & BIKE,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
439,1,RS11.25,02/05/2018,900,910,920,10,IFON - OWO,KM 3 OPP MARYLAND,ABC 164 AG & FKJ 665 BY,TRL & CAR,2 COM,TRL & V/WAGEN,TRL & GOLF,,,,MDV,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
440,2,RS11.25,24/05/2018,1545,1552,1557,5,IFON - OWO,OMALAFA,SMK 321 FE,BUS,PVT,TYT,SIENNA,,,,TBT,3,0,0,0,3,0,1,0,0,1,5,6,0,0,11
441,1,RS11.2,23/03/2018,515,530,549,19,AKR - OWO,KM 11 ILUABO,XE 464 BWR & AL 861 KJA,TRK & BUS,COM &  PVT,M/BENZ & TYT,TRK & SHARON,,,,LOC,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4
442,2,RS11.2,23/03/2018,1724,1729,1733,6,AKR - IPT,KM 2 FUTA GATE,KTU 741 XK & FUF 211 XA,P/UP & BUS,2 COM,TATA & FORD,P/UP & GALAXY,,,,SPV,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
443,3,RS11.2,30/03/2018,1000,1005,1008,3,AKR - OWO,KM 2 AGBOGBO ,AKR 588 VY & APP 469 QH,2 BIKE,2 COM,TVS & SUZUKI,2 BIKE,,,,SPV,1,1,0,0,2,0,0,0,0,0,2,1,0,0,3
444,4,RS11.2,31/03/2018,1422,1423,1425,2,AKR - T/SHIP,"KM 2 OPP ADESUPER HOTEL, OBA ADESIDA RD",FGB 755 AA,JEEP,PVT,M/BENZ,JEEP,,,,SPV & TBT,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
445,1,RS11.21,06/03/2018,1240,1224,1230,6,ORE - OND,KM 9 OMIFON,BRD 812 QF & QC 593 RLG,2 BIKE,2 COM,BAJAJ & SUZUKI,BOXERS & HAOJUE,,,,DOT & SPV,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
446,2,RS11.21,12/03/2018,1824,1840,1849,9,ORE - BEN,KM 26 FIRST BRIDGE ASEJIRE,EPE 335 CC,BUS,PVT,TYT,SIENNA,,,,BRD & SPV,7,3,0,1,11,0,0,0,0,0,7,3,0,2,12
447,3,RS11.21,24/03/2018,620,628,642,14,ORE - OND,KM 3 B4 NNPC DEPORT,AKD 201 AQ & NO NOS,P/UP & BIKE,2 COM,TYT & BAJAJ,TACOMA & BOXERS,,,,DOT,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
448,4,RS11.21,24/03/2018,1845,1850,1855,5,ORE - LAG,KM 47 ADEWOLE AREA,FKJ 62 BU,CAR,PVT,V/WAGEN,GOLF,,,,SPV,1,2,0,0,3,0,0,0,0,0,2,2,0,0,4
449,5,RS11.21,24/03/2018,2205,2215,2230,15,ORE - BEN,KM 20 B4 ASEJIRE  BRIDGE,AKD 348 XC & KTP 377 XA,TNK & TRK,2 COM,MACK & FORD,TNK & TRK,,,,SPV & OBS,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
450,6,RS11.21,28/03/2018,1430,1432,1437,5,ORE - OND,KM 14 OMIFON,SMK 452 BP & NO NOS,JEEP & BIKE,PVT & COM,TYT & SUZUKI,HIGHLANDER & HAOJUE ,,,,DOT,1,1,0,0,2,0,0,0,0,0,4,1,0,0,5
