key_0,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,BDR,BFL,BRD,DAD,DGD,DOT,DUI,FEV,FQT,FTG,FTQ,LOC,LSV,MDV,OBS,OTH,OVL,ROB,ROV,RTV,RUN,SLV,SOS,SPV,TBT,TYB,UPD,WOT,WOV
691,KM 17 IFE GARAGE,AKR 70 XB & NO NOS,P/UP & BIKE,"2 COM,",TYT & BAJAJ,DYNA & TVS,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,1,10,2019,300,840,540,2,20,OND,ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
666,KM 11 PELE FROM IFE ROUNDABOUT,KTU 436 XW & NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BOXERS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,1,9,2019,420,1020,600,2,16,OND,IFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
665,KM 9 INDICO FROM IFE ROUNDABOUT,GGE 643 XP & FB 282 ABJ,BUS & CAR,COM & PVT,TYT & KIA,HIACE & CAR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,1,9,2019,120,600,480,2,17,OND,ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
636,KM 2 ONYARUGBULEM JUNCTION,KTP 821 RG & NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,IPSUM & BOXERS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,1,9,2019,300,600,300,2,9,AKR,OWO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,KM 21 LIYETU ,GNN 163 XC & FTD 221 XA,BUS & CAR,2 COM,TYT & NISSAN,PICNIC & ALMERA,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,10.0,1,24,2019,-3000,-2460,540,2,16,OND,ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
613,KM 1 COOP COCOA ,NO NOS,CAR,PVT,TYT,CORLLA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1,8,2019,300,780,480,1,9,AKR,IPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,KM 1 AFTER BASE,KTP 214 XA & MUS 506 XS,CAR & TRK,2 COM,V/WAGEN & DAF,GOLF & TRK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,1,5,2017,60,180,120,2,22,AKR,OWO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
525,"KM1, OPPOSITE CAC IFON",GS18LND,BUS,COM,TYT,HIACE,4.0,3.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,4.0,22.0,1,22,2019,120,180,60,1,6,IFON,OWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
526,"KM 6, 40M FRM SHASHA MRKT",FKJ 470 XF & FF 440 APP,2 BUS,2 COM,2 TYT,HIACE & SIENNA,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,21.0,1,2,2019,300,960,660,2,16,AKR,OWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
551,KM 3 LAJE ROAD,ABJ 236 EX,JEEP,PVT,TYT,SIQUA,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2,19,2019,540,960,420,1,15,OND,ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
