,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
191,3,RS11.24,09/04/2018,1220,1243,1251,8,ONDO- ORE,KM 18 EGUSIN VILLAGE ,DUT203XA,TRK,COM,IVECO ,TRK,,,,SPV,7,0,0,0,7,1,0,0,0,1,18,0,0,0,18
192,4,RS11.24,11/04/2018,0741,0752,1807,15,OND - AKR,KM 3 KOLAWOLE,NND 193 XA,BUS,COM,TYT,HIACE,,,,TBT,6,7,0,0,13,0,2,0,0,2,6,9,0,0,15
193,5,RS11.24,12/04/2018,1505,1524,1549,25,OND - ORE,AHOYAYA ROAD,PTN 271 TA,CAR,PVT,TYT,COROLLA,,,,SPV,1,2,0,0,3,0,0,0,0,0,2,2,0,0,4
194,6,RS11.24,19/04/2018,0,0,0,0,OND - AKR,KM 15 BAGBE,JJJ 527 BY & GNN 822 XB,BUS & TRK,2 COM,TYT & BENZ,HIACE & TRK,,,,SPV,2,0,0,0,2,1,0,0,0,1,5,0,0,0,5
195,7,RS11.24,19/04/2018,1849,1855,1901,6,OND - AKR,KM 3 AKINJAGUNLA,KU 580 EKY & LSD 418 QB,CAR & BIKE,PVT & COM,NISSAN & HONDA,SUNNY & BIKE,,,,SPV,1,1,0,0,2,0,0,0,0,0,2,1,0,0,3
196,8,RS11.24,22/04/2018,1354,1411,1418,7,OND - ORE,OFA JUNCTION,NO NOS & FST 472 XS,BIKE & TRL,2 COM,BOXERS & TRL,BOXERS & TRL,,,,RTV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
197,9,RS11.24,25/04/2018,0854,0911,0918,7,OND - ORE,KM 9 INDICO JUNCTION,ABJ939EY   & NO NOS            ,"BUS, CAR",2 COM,2 TYT, CARMRY  &  PICNIC,,,,TBT,4,1,0,0,5,0,0,0,0,0,9,8,0,0,17
199,1,RS11.25,08/04/2018,1700,1710,1720,10,IFON - OWO,CLOSE TO ARMY CHECK POINT,ABC 146 AG & FKJ 665 ,JEEP & CAR,2 PVT,TYT & V/WAGEN,HIGHLANDER & GOLF,,,,BFL,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
200,2,RS11.25,09/04/2018,0730,0740,0750,10,IMORU - ARIMOKIJA,ILE - ILA,BB 328 AKR,CAR,PVT,V/WAGEN,GOLF,,,,BRD,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
201,3,RS11.25,11/04/2018,0700,0710,0720,10,IFON - BEN,IFON MKT,AWK 31 YF,CAR,PVT,PGT,DUCATO,,,,DUI,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
212,1,RS11.2,10/05/2018,0659,0711,0719,8,AKR - IPT,300M AYUS FILLING STATION,HIT & RUN,HIT & RUN,HIT & RUN,HIT & RUN,HIT & RUN,,,,SPV,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2
213,2,RS11.2,10/05/2018,0913,0916,0918,2,AKR - IPT,KM 6 ILARA JUNCTION,TOO 111 YB,TRK,COM,DAF,TRK,,,,SPV & BFL,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
214,3,RS11.2,11/05/2018,0639,0643,0649,6,AKR - T/SHIP,KM 2 LEO JUNCTION B4 FANIBI POLICE STATION,HIT & RUN,HIT & RUN,HIT & RUN,HIT & RUN,HIT & RUN,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
215,4,RS11.2,11/05/2018,1609,1610,1610,1,AKR - OWO,KM 4 AGBOGBO JUNCTION,MEK 541 WM & KRA 15 XA,BIKE & P/UP,2 COM,BOXERS & FORD,BIKE & P/UP,,,,SPV,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
216,5,RS11.2,21/05/2018,1647,1649,1652,3,AKR - IPT,"KM 7, ODEMSA ILARA MOKIN",EV 581 AAA,CAR,PVT,MAZDA,323,,,,SPV & ROB,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
217,6,RS11.2,24/10/2018,1504,1506,1508,2,AKR - OWO,KM 2 FGGC AKURE FRM ADO JUNCTION,FST 586 XS & ANG 214 BV,TRK & CAR,COM & PVT,MAN DIESEL & NISSAN,TRK & ALMERA,,,,SPV,4,2,0,0,6,0,0,0,0,0,5,3,0,0,8
218,7,RS11.2,26/05/2018,1830,1833,1841,8,AKR - IPT,KM 8 IPOGUN JUNCTION,AKR 344 AE & AGL 97 DR,2 CAR,2 COM,OPEL & TYT,CAR & COROLLA,,,,SPV,0,0,0,0,0,0,0,0,0,0,4,6,0,0,10
