,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
619,"['ORE', 'LAG']",KM 1,GGE 505 ZM,TRK,COM,TRK,TRK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,8,15,2019,300,600,300,1,16,ORE,LAG,MDV,LOC
620,"['ORE', 'BEN']",NAROWI JUNCTION,KRD 974 MG,BUS,COM,TYT,SIENNA,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,5.0,8,21,2019,900,1620,720,1,9,ORE,BEN,TBT,
621,"['ORE', 'BEN']",0,WER 266 ZZ,BUS,COM,TYT,HIACE,3.0,11.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,16.0,8,21,2019,0,120,120,1,14,ORE,BEN,SPV,LOC
622,"['LAG', 'ORE']",KM 22 EXPRESSWAY,EKY 553 XB & LND 479 XQ,TNK & BUS,2 COM,MACK & TYT,TNK,3.0,8.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,3.0,5.0,8.0,0.0,1.0,14.0,8,28,2019,360,1200,840,2,12,LAG,ORE,LOC,SPV
623,"['OWO', 'AKR']",KM 30 BOLORUNDURO JUNCTION,ENU 765 QF & NO NOS,BIKE & TRL,2 COM,HAOJUE & TRL,BIKE & TRL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9,8,2019,480,1680,1200,2,18,OWO,AKR,SPV,
624,"['OWO', 'IKR']",KM 1  BESIDE SCHL OF BLIND,ABS 206 XA & KAA 126 VW,TRK & BIKE,2 COM,SHACMAN & BAJAJ,F2000 & BOXERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,8,13,2019,120,300,180,2,13,OWO,IKR,SPV,BRD
625,"['OWO', 'IKR']",KM 11 WATER WORKS ,FKL 178YE & MUS 129 ,TRK & BUS,2 COM,DAF &TYT,TRK & BUS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,13.0,8,16,2019,1380,1680,300,2,6,OWO,IKR,SOS,SPV
626,"['OWO', 'AKR']",KM 28 BEFORE OGBESE BRIDGE,ALK 583 XA & FGB 729 XA ,BUS & TRK,2 COM,TYT & MAN 220,HAICE & TRK,10.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,12.0,8,22,2019,480,1380,900,2,8,OWO,AKR,SPV,LOC
627,"['OWO', 'AKR']",KM 28 BEFORE OGBESE BRIDGE,KAK 845 XA & KSF 792 AJ,BUS & CAR,COM & PVT,2 TYT,HAICE & CAMRY,7.0,3.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,1.0,13.0,8,30,2019,540,1260,720,2,10,OWO,AKR,TBT,LOC
628,"['IKR', 'OWO']",KM 15 AKUNGBA,ARD 15 BJ & NO NOS,2 CAR,2 PVT,TYT & V/WAGEN,AVENSIS & GOLF,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2,8,2019,240,1080,840,2,17,IKR,OWO,SPV,
