,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
732,"['IKR', 'AJOWA']",KM 2 ROCKSEN HOTEL,KAK 528 WZ & NO NOS,2 BIKE,2 COM,2 BOXERS,2 BAJAJ,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,22,2020,120,300,180,2,21,IKR,AJOWA,SPV,LOC
733,"['OKA', 'AKUNGBA']",KM3.3 IWARO OKA,GGE 511 XX,TNK,COM,TNK,TNK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12,23,2020,1860,2520,660,1,5,OKA,AKUNGBA,BFL,
734,"['IKR', 'OWO']",KM 2 TOTAL FILLING STATION OKE RUWA,KRY 208 XA,TRK,COM,SINO TRK,TRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,12,30,2020,180,600,420,1,22,IKR,OWO,SPV,
735,"['OND', 'AKR']",KM 10 OWENA,SMK 818 ES ,CAR,PVT,TYT,COROLLA,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,1,12,2020,600,900,300,1,17,OND,AKR,LOC,
736,"['OND', 'ORE']",KM 68 CATHOLIC JUNCTION,DA 333 SMK & A01 960 RS,CAR & P/UP,PVT & GOV,M/BENZ & INNOSON,CAR & P/UP,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,3,12,2020,0,120,120,2,14,OND,ORE,SPV,
737,"['OND', 'IFE']",KM 1 OLORUNTELE AT OKEIGBO FROM MILITARY BASE,BDS 859 XB & QB 139 REL,BUS & BIKE,2 COM,MAZDA & BOXERS,L300 & BAJAJ,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,13.0,9,12,2020,300,600,300,2,10,OND,IFE,WOV,DGD
738,"['OND', 'ORE']",KM 10 LIYETU,APP 694 XH,TNK,COM,TNK,TNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,16,2020,960,1020,60,1,15,OND,ORE,LOC,
739,"['OND', 'ORE']",KM 5 GBAGBE,GWL 156 XA & AGL 64 GP,BUS & CAR,COM & PVT,PGT & TYT,J5 & COROLLA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,12,18,2020,300,600,300,2,16,OND,ORE,DGD,LOC
740,"['OND', 'IFE']",KM 5 PELE,AP 964 MUS & BDR 403 WE,TNK & BIKE,2 COM,BENZ & TVS,TNK & KING,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,12,21,2020,1200,1500,300,2,12,OND,IFE,DGD,LOC
741,"['IFON', 'OWO']",KM 8 OMI ALAFA ,NO NOS,TNK,COM,DAF,TNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11,12,2020,600,780,180,1,14,IFON,OWO,MDV,
742,"['IFON', 'OWO']",KM 12 AFTER ELEGBEKA,FGB 698 XA & XA 302 XXX,BUS & TRK,2 COM,TYT & MAN DIESEL,HIACE & TRK,7.0,3.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,0.0,15.0,12,26,2020,120,480,360,2,8,IFON,OWO,SPV,
743,"['AKR', 'T/SHIP']","KM 4 ADEGBEMILE, CLOSE ALAGBAKA ",WWW 635 XA,CAR,COM,NISSAN,PREMIER,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7,11,2020,180,600,420,1,9,AKR,T/SHIP,SLV,LOC
744,"['AKR', 'OND']",KM 15 APONMU BE4 OWENA,LSR 407 EQ,CAR,PVT,TYT,CAMRY,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,7,11,2020,1020,1740,720,1,20,AKR,OND,TBT,LOC
745,"['AKR', 'IPT']",KM 7 ERO ,"ABC 832 AA, EGB 275 YS & KSF 561 FZ",2 CAR &  TRL,2 PVT & COM,"NSSAN, MAZDA & DAF","PRIMERA, MPV & TRL",3.0,9.0,0.0,2.0,14.0,1.0,1.0,0.0,1.0,3.0,6.0,8.0,0.0,3.0,17.0,8,11,2020,960,1500,540,3,12,AKR,IPT,LOC,OTH
746,"['AKR', 'OWO']",KM 5 SHASHA MRKT,HIT & RUN & SUA 859 WN,BIKE,COM,BAJAJ,BAJAJ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,11,19,2020,2100,3000,900,1,7,AKR,OWO,LOC,
747,"['AKR', 'T/SHIP']",KM 1 OLUSEGUN OBASANJO,BDG 82 EG & NO NOS,CAR & BIKE,PVT & COM,TYT & HONDA,CORROLLA & BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11,20,2020,180,480,300,2,7,AKR,T/SHIP,SPV,LOC
748,"['AKR', 'IPT']",KM 4 ILARA MOKIN,NO NOS & HIT & RUN,BIKE,COM,BAJAJ,BIKE,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,11,28,2020,60,240,180,1,10,AKR,IPT,SPV,LOC
749,"['AKR', 'ODA']",KM 2 KAJOLA ODA RD ,AKR 171 YT & NO NOS,TRK & BIKE,2 COM,MACK & BOXERS,TRK & BIKE,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,11,28,2020,780,1200,420,2,16,AKR,ODA,SPV,DGD
750,"['ORE', 'BEN']",KM 7 OPP SUNSHINE PARK,NO NOS,BUS,COM,TYT,HIACE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5,11,2020,60,180,120,1,12,ORE,BEN,SPV,
751,"['ORE', 'OKITIPUPA']",KM 10 NEAR STERLING BANK,REE 542 AA,TRK,COM,DAF,TRK,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,11,2020,300,720,420,1,19,ORE,OKITIPUPA,SPV,LOC
752,"['ORE', 'BEN']",KM 10 SHOWBOY,ENU 801 ZK,TRK,COM,BENZ,TRK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11,13,2020,540,1200,660,1,9,ORE,BEN,BFL,
753,"['ORE', 'OND']",OMIFON ALADURA,NO NOS & JGB 707 T,TRK & P/UP,2 COM,SCANIA & NISSAN,TRK & P/UP,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,11,14,2020,840,1440,600,2,4,ORE,OND,SPV,LOC
754,"['ORE', 'BEN']",SHOWBOY JUNCTION,NO NOS & HIT & RUN,BIKE & TRK (HIT & RUN),2 COM,SUZUKI & TRK (HIT & RUN),HAOJUE & TRK (HIT & RUN),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,11,15,2020,480,840,360,2,7,ORE,BEN,SPV,
755,"['ORE', 'OND']",KM 20 ODIGBO FROM INTERCHANGE,BDG 321 XR & SGM 301 QH,BUS & BIKE,2 COM,TYT & BOXERS,HIACE & BAJAJ,2.0,8.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,11.0,11,15,2020,1200,1800,600,2,10,ORE,OND,SPV,LOC
756,"['ORE', 'KTP']",KM 20 B4 ARMY CHECK POINT,"KTP 279 AA, 06H-290D & NO NOS","CAR, BUS & TRK","PVT, GOV & COM",2 TYT & MACK,"AVENSIS, COASTER & TRK",0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,5.0,11,19,2020,420,720,300,3,21,ORE,KTP,SPV,LOC
757,"['ORE', 'BEN']",KM 8 MTN MASK FRM INTERCHANGE,NO NOS,TRK,COM,IVECO,TRK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,11,22,2020,420,600,180,1,9,ORE,BEN,SPV,LOC
758,"['ORE', 'BEN']",KM 2O ASEJIRE,GSW 269 XA,TRL,COM,SHACMAN,TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,28,2020,1800,2400,600,1,12,ORE,BEN,SPV,LOC
759,"['ORE', 'LAG']",KM 45 AJEBANDELE,APP 22 FZ & AUY 124 XA,BUS & TRK,2 COM,TYT & FAW,SIENNA & TRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11,30,2020,300,600,300,2,22,ORE,LAG,WOV,SPV
760,"['OWO', 'AKR']",KM 1.5 BESIDE NIPCO,SMK 222 XP & TRN 268M XA,2 TRL,2 COM,SCANNIA & DAF,2 TRL,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,11,2020,60,120,60,2,11,OWO,AKR,DGD,LOC
761,"['OWO', 'IKR']",KM 9 AGO PANU,BGT 468 XA,BUS,COM,TYT,HIACE,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,10,11,2020,180,420,240,1,15,OWO,IKR,SPV,
762,"['OWO', 'IKR']",KM 9 AGO PANU,AYE 625 ZQ  & NO NOS,TRK & BIKE,2 COM,VOLVO & BAJAJ,TRK & BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11,16,2020,180,480,300,2,15,OWO,IKR,SPV,
763,"['OWO', 'AKR']",KM 3 AFTER ISUADA,"AKR 61 SJ,  LFA 105 MF & JJJ 155 BT ",2 CAR & JEEP,3 PVT,2 TYT & NISSAN,"COROLLA, PRIMERA & HIGHLANDER",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,9.0,11,18,2020,120,240,120,3,13,OWO,AKR,SPV,
764,"['IKR', 'AJOWA']",KM 1 CILLAM FILLING STATION,"NO NOS, KAK 864 AE & NO NOS","TRK, CAR & BIKE",2 COM & PVT,"CARGO,  NISSAN &  BAJAJA","TRK, MICRA & BOXERS",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,11,21,2020,120,300,180,3,20,IKR,AJOWA,BFL,LOC
765,"['IKR', 'IBOROPA']",KM 5 UGBE AKOKO,2 NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BOXER,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,6.0,11,29,2020,240,840,600,2,8,IKR,IBOROPA,SPV,
766,"['IKR', 'AJOWA']",KM 5 AGBALUKU AKOKO,KAK 484 AE & NO NOS,CAR & BIKE,PVT & COM,TYT & BAJAJ,CORROLLA & BOXERS,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,11,29,2020,180,540,360,2,19,IKR,AJOWA,SPV,
767,"['OND', 'ORE']",KM 5 BAGBE,ABC 396 XC,TRK,COM,M/BENZ,TRK,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,11,2020,-300,0,300,1,20,OND,ORE,DGD,LOC
768,"['OND', 'AKR']",OBOTO,LND 515 XG & NO NOS,"BUS, TRK & BIKE",3 COM,"TYT, DAF, & HAOJUE","SIENNA, TRK & SUZUKI",4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,6.0,11,13,2020,300,600,300,3,20,OND,AKR,DGD,LOC
769,"['OND', 'AKR']",KM 2 KOLA REWIRE,"KSF 603 XL, KRD 472 AT & NND 366 WL","TNK, CAR & BIKE",2 COM & PVT,"TIPPER, TYT & BOXERS","TNK, CAMRY & BIKE",2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,11,21,2020,600,900,300,3,14,OND,AKR,BFL,
770,"['IFON', 'OWO']",KM 10 OMI - AALAFA,FFN 476 AA & WWW 109 MW,2 CAR,2 PVT,V/W & TYT,GOLF 3 & SOLARA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3,11,2020,120,480,360,2,19,IFON,OWO,DUI,LOC
771,"['IFON', 'OWO']",KM 11 ELEGBEKA,BDJ 220 ZY,TRK,COM,IVECO,TURBO STAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10,11,2020,180,420,240,1,8,IFON,OWO,MDV,LOC
772,"['IFON', 'OWO']",KM 0.5 OGOLO SIUTE,AKR 141 XW & NO NOS,CAR & BIKE,PVT & COM,TYT & QLINK,PRIVIA & CRUISER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,9.0,11,15,2020,60,120,60,2,17,IFON,OWO,SPV,
773,"['AKR', 'OWO']",KM 1 OPPOSITE PRIMUS WATER,JJJ  28 FQ,CAR,PVT,LEXUS,E30,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,10,8,2020,120,180,60,1,19,AKR,OWO,WOV,LOC
774,"['AKR', 'OWO']",KM 5 QUARTER GUARD,KSF 862 XX,TRK,COM,DAF,TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8,13,2020,300,480,180,1,11,AKR,OWO,DGD,LOC
775,"['AKR', 'IPT']",KM 2 AKAD ,AAA 827 CU & ABC 344 CZ,2 CAR,2 PVT,NISSAN & LEXIUS,ALMERA & 330,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8,15,2020,600,900,300,2,17,AKR,IPT,DGD,LOC
776,"['AKR', 'OWO']",KM 8 BUTCHER AKURE,LND 784 GF & KTU 400 QF,BUS & BIKE,2 COM ,TYT & BAJAJ,SIENNA & BOXERS,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,8,16,2020,300,600,300,2,14,AKR,OWO,LOC,
777,"['AKR', 'OND']",KM 6 ASSEMBLY OF GOD CHURCH JUNCTION,AE 577 JER & AGL 187 CE,2 CAR,2 PVT,MAZDA & TYT,626 & COROLLA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8,24,2020,2700,3900,1200,2,7,AKR,OND,WOV,LOC
778,"['ORE', 'ONDO']",KM 21  LASIA VILLAGE,ANG 368 XA & NO NOS,BUS & TRK,2 COM ,TYT & BEDFORD,HAICE & MINI TRK,4.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,9.0,6,8,2020,600,1500,900,2,22,ORE,ONDO,OBS,SPV
779,"['ORE', 'LAG']",KM 40 ONI TEA ,JJJ 993 XV,BUS,COM,TYT,HIACE,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,10.0,8,14,2020,300,600,300,1,9,ORE,LAG,SPV,LOC
780,"['ORE', 'ONDO']",KM 21 OMIFON,SGB 184 XA & FKJ 139 XA,CAR & BUS,2 COM ,V/WAGEN  & TYT,GOLF & SIENNA,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,8.0,8,28,2020,180,660,480,2,12,ORE,ONDO,LOC,
781,"['OWO', 'T/SHIP']",KM 3 IMADE COLLEGE ,AKR 452 QC & NO NOS,2 BIKE,2 COM ,BAJAJ & QLINK,BOXERS & CRUISER,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1,8,2020,240,540,300,2,16,OWO,T/SHIP,SPV,LOC
782,"['OWO', 'IKR']",KM 3 ARMY CHECK POINT,GWA 703 YR & SUA 793 WN,BUS & BIKE,2 COM ,TYT & BAJAJ,HIACE & BOXERS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,10.0,2,8,2020,120,480,360,2,12,OWO,IKR,SPV,DGD
783,"['OWO', 'AKR']",KM 6 AFTER POLY 2ND GATE,JJJ 849 CF & WWW 148 AA,2 CAR,2 PVT,TYT & NISSAN,COROLLA & PRIMERA,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,7.0,4,8,2020,120,360,240,2,12,OWO,AKR,BRD,LOC
784,"['OWO', 'AKR']",KM 4 BEFORE POLY 1ST GATE,KTU 954 GD,BUS,COM,TYT,SIENNA,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,9,8,2020,120,300,180,1,16,OWO,AKR,TBT,LOC
785,"['OWO', 'IKR']",KM 5  BEFORE SHASHA MRKT ,GZW 208 XA,BUS,COM,TYT,HIACE,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,12.0,8,13,2020,3600,3900,300,1,4,OWO,IKR,SPV,TBT
786,"['OWO', 'AKR']",AMURIN,"DD 797 ABC, MUS 917 DK & KTU 680 XX","CAR , JEEP & BUS",2 PVT & COM,"LAND CRUISER, TYT & FAW ","JEEP, CORROLLA & 8190",5.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,2.0,11.0,8,15,2020,300,780,480,3,10,OWO,AKR,SPV,WOV
787,"['OWO', 'T/SHIP']",INFRONT OF POLARIS BANK ,HIT & RUN,CAR,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8,16,2020,120,360,240,0,12,OWO,T/SHIP,0,
788,"['OWO', 'IFON']",AFTER JOSSY MOTORS,ATU 752 XT,TRL,COM,HOWO,TRL,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,8,17,2020,300,600,300,1,16,OWO,IFON,DGD,LOC
789,"['IKR', 'ISUA']","KM 1 OPP RIGHT FOUNDATION, SCHL UGBE AKOKO",KAK 645 AE,CAR,PVT,TYT,CAMRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10,8,2020,300,600,300,1,23,IKR,ISUA,BFL,LOC
790,"['IKR', 'AJOWA']",KM 2 AGBALUKU JUNCTION,LND 785 YA & NO NOS,P/UP & BIKE,2 COM ,FORD & BOXERS,P/UP & BAJAJ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11,8,2020,600,900,300,2,19,IKR,AJOWA,BFL,LOC
791,"['OKA', 'AKUNGBA']",IWARO  OKA,KZR 95 ZT & KNC 60 XA,2 TRK,2 COM ,HOWO & DAF,2 TRK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,8,17,2020,420,1260,840,2,13,OKA,AKUNGBA,BFL,
792,"['IKR', 'OWO']",KM 4 AGO AJAYI,KRD 305 XN,TRK,COM,MAW,TRK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,8,23,2020,300,900,600,1,12,IKR,OWO,SPV,
793,"['IKR', 'ADO']",KM 3 FEDERAL TECHNICAL COLLEGE,ANG 411 XA,P/UP,COM,SUZUKI,P/UP,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,8,24,2020,300,600,300,1,15,IKR,ADO,SPV,LOC
794,"['IKR', 'ADO']",KM 1 OPP OKORUN POLICE,"NO NOS, FST 575 XQ, QC 160 ANG, KAK 974 UM, NO NOS, NO NOS, NO NOS &  NO NOS","TAN, TRK & 6 BIKE",8 COM,"DAF, BENZ, 2 HAOJUE & 4 BAJAJ ","TAN, TRK, 2 SUZUKI & 4 BOXERS",3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,7.0,8,29,2020,300,600,300,8,16,IKR,ADO,SPV,BFL
795,"['IKR', 'OWO']",KM 2 OPP LAGOS GARAGE,QC 862 ANG,BIKE,COM,HAOJUE,SUZUKI,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8,29,2020,300,600,300,1,19,IKR,OWO,LOC,
796,"['OND', 'ORE']",KM 2 AWOYAYA,NND 422 AV ,CAR,PVT,TYT,COROLLAR,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3,8,2020,300,600,300,1,11,OND,ORE,LOC,
797,"['OND', 'ORE']",KLM 2 INDIKO,NND 920 VJ & NO NOS,BIKE & HIT & RUN,COM,BAJAJ,BOXERS,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,8,16,2020,300,720,420,1,15,OND,ORE,LOC,
798,"['OND', 'AKR']",KM 2 KOLA REWIRE,KU 950 EKY & QQ 362 FKJ,CAR & BIKE,PVT & COM,TYT & JINCHENG,SEQUIA & BIXER,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8,27,2020,300,600,300,2,18,OND,AKR,SPV,DGD
799,"['IFON', 'OWO']",KM 8 ORI OYIN,UKP 198 UH,BIKE,COM,LIFAN,BIKA,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,7,8,2020,0,0,0,1,16,IFON,OWO,SPV,LOC
800,"['AKR', 'T/SHIP']",KM 5 OLUSEGUN OBASANJO  WAY OPP BTO HALL,REL 154 AA & WWW 718 AE ,2 CAR,2 PVT,TYT & HYUNDA,COROLLA & LANTRA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5,6,2020,300,1500,1200,2,8,AKR,T/SHIP,SPV,DGD
801,"['AKR', 'IPT']","400M OPP MINISTRY OF YOUTH & SPORTDEVELOPMENT, ILESA/OWO EXPRESS WAY",KTP 039 VD & MUS 768 QC,2 BIKE,2 COM,TVS & HAOJUE,HLX BIKE & SUZUKI,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6,15,2020,120,300,180,2,12,AKR,IPT,SPV,LOC
802,"['AKR', 'OWO']",KM 1 OPP JOEJANE HOTEL OBAILE,XC 373 FGB,BUS,COM,TYT & HYUNDA,PREVIA,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,5.0,6,17,2020,420,600,180,1,17,AKR,OWO,OVL,LOC
803,"['AKR', 'OWO']",KM 2 OPP NNPC MEGA STATION ,APP 08 GG & QK 978 AKR ,JEEP & BIKE,PVT & COM,LEXUS & TVS,RX330 & BIKE,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,7.0,6,20,2020,60,180,120,2,19,AKR,OWO,SPV,LOC
804,"['AKR', 'OWO']",KM 4 HIGH SCHOOL ROAD AREA AKURE,KTP 219 VD & AKR 904 WQ,2 BIKE,2 COM,2 TVS,2 BIKE,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,6,21,2020,360,540,180,2,17,AKR,OWO,SPV,LOC
805,"['AKR', 'OWO']",KM 1 HIGH SCHOOL JUNCTION ,AKR 291 WS & HIT & RUN,BIKE,COM,TVS,BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6,23,2020,420,780,360,1,19,AKR,OWO,SPV,LOC
806,"['AKR', 'OWO']",KM 6 HIGH SCHOOL JUNCTION,CX 45 MUS & AKR 17 ZN,2 CAR,2 PVT,MAZDA & NISSAN,626 & PRIMERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6,27,2020,120,900,780,2,15,AKR,OWO,SPV,DGD
807,"['ORE', 'OND']",KM 10 OMIFON ,HIT & RUN & JBD 208 QD,BIKE,COM,HONDA,BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6,6,2020,120,300,180,1,12,ORE,OND,SPV,
808,"['ORE', 'OND']",KM 10 ASEWELE,JJJ 621 CJ & GGE 768 EC,CAR & BUS,2 PVT,2 TYT,CARINA E & PICNIC,7.0,4.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,12.0,6,17,2020,420,900,480,2,8,ORE,OND,SPV,LOC
809,"['ORE', 'OKITIPUPA']",KM 14 AFTER ARMY CHECK POINT,WWW 630 XA,BUS,COM,SUZUKI,FORENZA,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,6,17,2020,480,780,300,1,18,ORE,OKITIPUPA,SPV,LOC
810,"['OWO', 'IFON']",KM 12 ELEGBEKA ,LND 658 XU,BUS,COM,TYT,PREVIA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6,18,2020,2640,3480,840,1,5,OWO,IFON,TBT,LOC
811,"['OWO', 'IKR']",KM 7 IPEME VILLAGE,ABJ 508 XK,TNK,COM,MAN DIESEL,TNK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6,27,2020,900,1200,300,1,5,OWO,IKR,MDV,LOC
812,"['IKR', 'ISUA']",KM 3 IBOROPA,ANG 427 XA & KAK 239 AA,BUS & CAR,COM & PVT,TYT & NISSAN,PREVIA & ALMERA,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,6,16,2020,300,600,300,2,13,IKR,ISUA,SPV,LOC
